mrt_dist_km,amenity_score,neighborhood_demand,lag_occupancy,month_num,d_covid_phase2,d_absd_hike_2021,d_ahd_tightening,d_ura_guidelines,d_rental_surge,room_type,zone,lease_type,rental_price_sgd,is_vacant,month,planning_area,operator
0.251,0.857,69.01,0.99,1,0,0,0,0,0,Single,Central,3-Month,1270.0,0,2021-01,Kallang,Figment
0.336,0.857,77.1,1.0,1,0,0,0,0,0,Single,Central,3-Month,1080.0,0,2021-01,Outram,Lyf
1.466,0.571,59.34,0.96,1,0,0,0,0,0,Master,Central,12-Month,1220.0,0,2021-01,Bishan,Hmlet
1.551,0.857,46.25,0.939,1,0,0,0,0,0,Studio,North-East,3-Month,1400.0,0,2021-01,Sengkang,Figment
0.345,0.857,54.16,0.956,1,0,0,0,0,0,Studio,East,Monthly,1630.0,0,2021-01,Bedok,Figment
1.56,0.714,63.09,1.0,1,0,0,0,0,0,Studio,Central,3-Month,1640.0,0,2021-01,Bishan,Cantonment
0.385,0.714,70.45,1.0,1,0,0,0,0,0,Twin-Share,Central,12-Month,830.0,0,2021-01,Novena,Lyf
0.774,0.571,59.18,0.898,1,0,0,0,0,0,Twin-Share,East,Monthly,720.0,0,2021-01,Bedok,Figment
0.235,0.286,62.46,0.927,1,0,0,0,0,0,Master,Central,6-Month,1510.0,0,2021-01,Toa Payoh,Bonztel
1.758,0.571,51.78,0.943,1,0,0,0,0,0,Twin-Share,Central,Monthly,840.0,0,2021-01,Bishan,Cantonment
0.326,0.571,60.44,1.0,1,0,0,0,0,0,Single,West,6-Month,880.0,0,2021-01,Clementi,Hmlet
0.529,0.571,53.11,0.918,1,0,0,0,0,0,Twin-Share,North,3-Month,740.0,0,2021-01,Woodlands,Figment
0.321,0.714,69.86,0.919,1,0,0,0,0,0,Master,North-East,6-Month,1270.0,0,2021-01,Serangoon,Bonztel
0.505,0.714,73.25,1.0,1,0,0,0,0,0,Single,Central,3-Month,1030.0,0,2021-01,Outram,Cove
0.476,0.571,51.07,0.871,1,0,0,0,0,0,Suite,North-East,6-Month,1450.0,1,2021-01,Punggol,The Assembly Place
0.64,0.286,57.68,0.979,1,0,0,0,0,0,Single,East,12-Month,870.0,0,2021-01,Tampines,Figment
