listing_id,month,year,month_num,operator,planning_area,zone,room_type,lease_type,lat,lon,mrt_dist_km,amenity_count,amenity_score,neighborhood_demand,lag_occupancy,rental_price_sgd,is_vacant,d_covid_phase2,d_absd_hike_2021,d_ahd_tightening,d_ura_guidelines,d_rental_surge
1000,2021-01,2021,1,Figment,Kallang,Central,Single,3-Month,1.30835,103.87355,0.251,6,0.857,69.01,0.99,1270.0,0,0,0,0,0,0
1001,2021-01,2021,1,Lyf,Outram,Central,Single,3-Month,1.28048,103.83741,0.336,6,0.857,77.1,1.0,1080.0,0,0,0,0,0,0
1002,2021-01,2021,1,Hmlet,Bishan,Central,Master,12-Month,1.34673,103.84651,1.466,4,0.571,59.34,0.96,1220.0,0,0,0,0,0,0
1003,2021-01,2021,1,Figment,Sengkang,North-East,Studio,3-Month,1.39133,103.89667,1.551,6,0.857,46.25,0.939,1400.0,0,0,0,0,0,0
1004,2021-01,2021,1,Figment,Bedok,East,Studio,Monthly,1.32104,103.92971,0.345,6,0.857,54.16,0.956,1630.0,0,0,0,0,0,0
1005,2021-01,2021,1,Cantonment,Bishan,Central,Studio,3-Month,1.34777,103.84714,1.56,5,0.714,63.09,1.0,1640.0,0,0,0,0,0,0
1006,2021-01,2021,1,Lyf,Novena,Central,Twin-Share,12-Month,1.31862,103.84717,0.385,5,0.714,70.45,1.0,830.0,0,0,0,0,0,0
1007,2021-01,2021,1,Figment,Bedok,East,Twin-Share,Monthly,1.31847,103.9261,0.774,4,0.571,59.18,0.898,720.0,0,0,0,0,0,0
1008,2021-01,2021,1,Bonztel,Toa Payoh,Central,Master,6-Month,1.33609,103.85102,0.235,2,0.286,62.46,0.927,1510.0,0,0,0,0,0,0
1009,2021-01,2021,1,Cantonment,Bishan,Central,Twin-Share,Monthly,1.35434,103.85227,1.758,4,0.571,51.78,0.943,840.0,0,0,0,0,0,0
1010,2021-01,2021,1,Hmlet,Clementi,West,Single,6-Month,1.31475,103.762,0.326,4,0.571,60.44,1.0,880.0,0,0,0,0,0,0
1011,2021-01,2021,1,Figment,Woodlands,North,Twin-Share,3-Month,1.4358,103.78211,0.529,4,0.571,53.11,0.918,740.0,0,0,0,0,0,0
1012,2021-01,2021,1,Bonztel,Serangoon,North-East,Master,6-Month,1.35618,103.86853,0.321,5,0.714,69.86,0.919,1270.0,0,0,0,0,0,0
1013,2021-01,2021,1,Cove,Outram,Central,Single,3-Month,1.27812,103.83581,0.505,5,0.714,73.25,1.0,1030.0,0,0,0,0,0,0
1014,2021-01,2021,1,The Assembly Place,Punggol,North-East,Suite,6-Month,1.40071,103.90524,0.476,4,0.571,51.07,0.871,1450.0,1,0,0,0,0,0
1015,2021-01,2021,1,Figment,Tampines,East,Single,12-Month,1.34724,103.94492,0.64,2,0.286,57.68,0.979,870.0,0,0,0,0,0,0
1016,2021-01,2021,1,Figment,Rochor,Central,Deluxe,3-Month,1.30581,103.86212,0.668,3,0.429,90.71,0.701,2220.0,0,0,0,0,0,0
1017,2021-01,2021,1,Hmlet,Ang Mo Kio,North-East,Suite,3-Month,1.37412,103.85368,0.66,4,0.571,57.56,0.89,1720.0,0,0,0,0,0,0
1018,2021-01,2021,1,The Assembly Place,Paya Lebar,East,Studio,Monthly,1.31645,103.89557,0.318,5,0.714,66.05,0.893,1550.0,0,0,0,0,0,0
1019,2021-01,2021,1,Lyf,Buona Vista,West,Suite,Monthly,1.30454,103.79445,0.601,3,0.429,70.41,0.889,1750.0,0,0,0,0,0,0
1020,2021-01,2021,1,Cove,Bishan,Central,Twin-Share,12-Month,1.34882,103.85042,1.636,3,0.429,62.07,0.95,720.0,0,0,0,0,0,0
1021,2021-01,2021,1,Bonztel,Ang Mo Kio,North-East,Suite,3-Month,1.3681,103.84696,0.346,4,0.571,57.61,0.78,1740.0,0,0,0,0,0,0
